Date,Open,High,Low,Close,Adj Close,Volume
2016-11-22,196000.000000,199000.000000,192000.000000,197000.000000,197000.000000,54825
2016-11-23,194000.000000,197000.000000,193000.000000,193500.000000,193500.000000,30931
2016-11-24,192500.000000,195000.000000,191500.000000,194000.000000,194000.000000,42376
2016-11-25,195000.000000,195000.000000,188500.000000,189000.000000,189000.000000,38574
2016-11-28,189000.000000,190000.000000,186500.000000,187000.000000,187000.000000,45400
2016-11-29,187000.000000,188000.000000,184000.000000,185000.000000,185000.000000,41931
2016-11-30,187000.000000,187000.000000,182500.000000,184000.000000,184000.000000,109628
2016-12-01,184500.000000,185000.000000,178000.000000,178000.000000,178000.000000,45065
2016-12-02,178500.000000,180500.000000,173000.000000,178500.000000,178500.000000,47063
2016-12-05,178500.000000,183500.000000,176500.000000,182000.000000,182000.000000,37562
2016-12-06,184000.000000,184000.000000,179000.000000,181500.000000,181500.000000,41957
2016-12-07,183000.000000,184500.000000,179000.000000,184500.000000,184500.000000,35285
2016-12-08,185000.000000,188000.000000,182000.000000,188000.000000,188000.000000,46031
2016-12-09,188000.000000,188000.000000,185000.000000,186500.000000,186500.000000,36944
2016-12-12,188000.000000,188000.000000,182000.000000,182000.000000,182000.000000,19204
2016-12-13,182500.000000,183500.000000,182000.000000,182500.000000,182500.000000,18020
2016-12-14,183000.000000,184000.000000,181500.000000,182500.000000,182500.000000,19280
2016-12-15,181000.000000,184000.000000,181000.000000,182500.000000,182500.000000,22494
2016-12-16,182500.000000,183000.000000,179000.000000,180000.000000,180000.000000,34748
2016-12-19,180500.000000,181000.000000,178500.000000,179000.000000,179000.000000,17186
2016-12-20,179500.000000,180500.000000,178500.000000,179500.000000,179500.000000,18436
2016-12-21,179000.000000,180000.000000,177000.000000,178000.000000,178000.000000,27061
2016-12-22,178000.000000,179000.000000,176000.000000,178500.000000,178500.000000,24515
2016-12-23,177500.000000,181000.000000,176500.000000,179500.000000,179500.000000,17325
2016-12-26,179500.000000,181000.000000,175500.000000,177000.000000,177000.000000,29721
2016-12-27,178500.000000,179500.000000,175500.000000,177000.000000,177000.000000,31421
2016-12-28,176000.000000,177500.000000,174500.000000,175500.000000,175500.000000,26775
2016-12-29,176000.000000,179500.000000,174000.000000,179000.000000,179000.000000,26928
2017-01-02,177500.000000,180500.000000,177500.000000,179500.000000,179500.000000,22044
2017-01-03,179500.000000,181000.000000,176000.000000,176500.000000,176500.000000,35591
2017-01-04,176500.000000,178000.000000,174000.000000,175500.000000,175500.000000,45309
2017-01-05,176000.000000,176000.000000,173500.000000,175500.000000,175500.000000,44590
2017-01-06,175500.000000,177500.000000,174000.000000,177500.000000,177500.000000,25870
2017-01-09,176000.000000,177500.000000,171000.000000,171500.000000,171500.000000,49083
2017-01-10,171500.000000,171500.000000,166000.000000,168000.000000,168000.000000,65054
2017-01-11,167500.000000,171000.000000,165000.000000,165500.000000,165500.000000,58968
2017-01-12,164500.000000,167000.000000,163500.000000,164000.000000,164000.000000,72573
2017-01-13,163500.000000,166000.000000,163000.000000,164000.000000,164000.000000,51458
2017-01-16,165500.000000,169500.000000,165000.000000,166500.000000,166500.000000,66794
2017-01-17,167000.000000,168500.000000,166000.000000,167000.000000,167000.000000,35536
2017-01-18,169000.000000,169000.000000,166500.000000,166500.000000,166500.000000,40507
2017-01-19,166500.000000,171000.000000,166500.000000,169500.000000,169500.000000,70843
2017-01-20,169500.000000,174000.000000,169500.000000,170500.000000,170500.000000,70772
2017-01-23,171500.000000,173000.000000,169500.000000,172000.000000,172000.000000,41699
2017-01-24,173000.000000,173000.000000,167000.000000,167000.000000,167000.000000,54346
2017-01-25,167500.000000,168000.000000,163500.000000,165500.000000,165500.000000,34161
2017-01-26,165500.000000,166000.000000,161000.000000,162500.000000,162500.000000,58802
2017-01-31,161000.000000,163000.000000,160500.000000,163000.000000,163000.000000,30339
2017-02-01,163500.000000,163500.000000,159000.000000,160000.000000,160000.000000,51618
2017-02-02,160000.000000,161000.000000,155000.000000,155500.000000,155500.000000,87857
2017-02-03,155000.000000,157500.000000,155000.000000,155500.000000,155500.000000,55625
2017-02-06,157000.000000,159000.000000,155500.000000,158500.000000,158500.000000,35982
2017-02-07,159500.000000,159500.000000,157000.000000,158000.000000,158000.000000,45619
2017-02-08,158000.000000,159500.000000,156000.000000,158500.000000,158500.000000,50215
2017-02-09,159000.000000,160500.000000,156500.000000,159500.000000,159500.000000,66218
2017-02-10,161000.000000,161000.000000,156000.000000,156500.000000,156500.000000,55507
2017-02-13,157500.000000,158000.000000,155000.000000,156000.000000,156000.000000,46005
2017-02-14,157000.000000,157500.000000,155000.000000,156500.000000,156500.000000,42715
2017-02-15,157500.000000,169500.000000,157000.000000,169000.000000,169000.000000,190723
2017-02-16,169500.000000,171000.000000,166500.000000,170500.000000,170500.000000,98341
2017-02-17,169000.000000,169500.000000,166000.000000,168000.000000,168000.000000,49831
2017-02-20,167000.000000,168000.000000,166000.000000,167500.000000,167500.000000,26956
2017-02-21,167500.000000,169000.000000,164500.000000,168500.000000,168500.000000,57179
2017-02-22,167000.000000,170000.000000,166000.000000,170000.000000,170000.000000,49957
2017-02-23,170500.000000,170500.000000,167500.000000,169000.000000,169000.000000,38626
2017-02-24,169000.000000,169500.000000,167000.000000,169500.000000,169500.000000,29537
2017-02-27,171000.000000,171000.000000,168500.000000,171000.000000,171000.000000,30973
2017-02-28,171000.000000,172500.000000,166500.000000,172500.000000,172500.000000,55009
2017-03-02,173500.000000,174500.000000,169000.000000,171000.000000,171000.000000,52849
2017-03-03,170000.000000,170000.000000,165500.000000,166000.000000,166000.000000,48451
2017-03-06,166000.000000,166000.000000,157500.000000,163000.000000,163000.000000,82223
2017-03-07,163500.000000,164000.000000,160500.000000,161000.000000,161000.000000,43813
2017-03-08,163000.000000,169000.000000,163000.000000,167000.000000,167000.000000,58172
2017-03-09,167000.000000,167000.000000,164500.000000,166000.000000,166000.000000,31916
2017-03-10,165000.000000,166000.000000,162500.000000,165500.000000,165500.000000,36551
2017-03-13,165000.000000,168500.000000,163500.000000,167500.000000,167500.000000,40232
2017-03-14,167500.000000,167500.000000,163500.000000,164000.000000,164000.000000,35143
2017-03-15,164000.000000,164500.000000,162000.000000,163500.000000,163500.000000,20492
2017-03-16,162500.000000,166500.000000,161500.000000,164000.000000,164000.000000,32417
2017-03-17,164500.000000,164500.000000,162000.000000,164500.000000,164500.000000,21638
2017-03-20,163500.000000,165000.000000,162000.000000,162500.000000,162500.000000,13824
2017-03-21,164000.000000,166000.000000,163000.000000,164000.000000,164000.000000,27045
2017-03-22,164500.000000,165500.000000,158500.000000,160000.000000,160000.000000,46552
2017-03-23,161000.000000,166000.000000,160000.000000,165500.000000,165500.000000,43260
2017-03-24,166000.000000,172500.000000,165500.000000,171000.000000,171000.000000,79115
2017-03-27,172000.000000,174000.000000,167000.000000,168000.000000,168000.000000,41259
2017-03-28,169000.000000,170000.000000,168000.000000,170000.000000,170000.000000,24696
2017-03-29,171000.000000,173000.000000,168500.000000,169000.000000,169000.000000,33408
2017-03-30,169000.000000,169000.000000,165500.000000,168000.000000,168000.000000,28636
2017-03-31,167500.000000,167500.000000,165500.000000,166500.000000,166500.000000,23697
2017-04-03,165500.000000,167500.000000,164000.000000,167000.000000,167000.000000,31550
2017-04-04,166000.000000,166500.000000,162500.000000,164000.000000,164000.000000,46696
2017-04-05,164000.000000,164000.000000,160000.000000,161000.000000,161000.000000,59777
2017-04-06,161000.000000,162500.000000,159000.000000,161000.000000,161000.000000,53483
2017-04-07,162000.000000,163000.000000,161000.000000,162000.000000,162000.000000,20946
2017-04-10,161500.000000,162000.000000,159000.000000,160000.000000,160000.000000,20042
2017-04-11,159000.000000,160500.000000,158000.000000,159500.000000,159500.000000,22295
2017-04-12,160000.000000,160500.000000,158000.000000,160000.000000,160000.000000,31202
2017-04-13,160500.000000,161500.000000,158500.000000,160500.000000,160500.000000,27765
2017-04-14,160000.000000,160000.000000,158000.000000,158000.000000,158000.000000,24906
2017-04-17,159500.000000,162000.000000,158500.000000,161500.000000,161500.000000,23851
2017-04-18,162500.000000,162500.000000,160000.000000,160000.000000,160000.000000,25136
2017-04-19,159500.000000,161000.000000,159000.000000,160000.000000,160000.000000,26534
2017-04-20,160000.000000,161500.000000,159000.000000,160000.000000,160000.000000,80220
2017-04-21,160500.000000,170000.000000,160500.000000,169500.000000,169500.000000,107319
2017-04-24,169000.000000,173000.000000,167500.000000,170000.000000,170000.000000,61925
2017-04-25,170500.000000,171000.000000,169000.000000,170500.000000,170500.000000,32699
2017-04-26,171000.000000,171000.000000,165000.000000,166500.000000,166500.000000,93115
2017-04-27,167500.000000,169000.000000,165500.000000,166500.000000,166500.000000,39983
2017-04-28,165000.000000,167500.000000,165000.000000,166500.000000,166500.000000,30029
2017-05-02,166500.000000,169500.000000,166500.000000,168000.000000,168000.000000,48300
2017-05-04,167000.000000,171000.000000,167000.000000,168000.000000,168000.000000,41962
2017-05-08,168500.000000,172000.000000,167500.000000,172000.000000,172000.000000,62651
2017-05-10,172000.000000,179000.000000,171500.000000,178500.000000,178500.000000,133117
2017-05-11,178500.000000,184000.000000,175000.000000,184000.000000,184000.000000,148838
2017-05-12,183000.000000,183000.000000,177000.000000,178500.000000,178500.000000,57388
2017-05-15,178500.000000,179500.000000,176000.000000,176500.000000,176500.000000,40147
2017-05-16,178000.000000,184000.000000,177000.000000,179500.000000,179500.000000,102999
2017-05-17,180000.000000,180500.000000,176500.000000,178000.000000,178000.000000,87196
2017-05-18,178000.000000,179000.000000,175000.000000,176500.000000,176500.000000,34509
2017-05-19,178500.000000,180000.000000,176500.000000,179000.000000,179000.000000,32490
2017-05-22,180000.000000,182000.000000,179000.000000,180500.000000,180500.000000,40295
2017-05-23,180500.000000,182000.000000,178500.000000,180500.000000,180500.000000,41470
2017-05-24,181500.000000,183000.000000,180500.000000,181000.000000,181000.000000,41072
2017-05-25,181000.000000,186000.000000,180500.000000,186000.000000,186000.000000,102245
2017-05-26,187500.000000,192000.000000,187500.000000,192000.000000,192000.000000,105260
2017-05-29,190500.000000,191500.000000,186500.000000,186500.000000,186500.000000,53749
2017-05-30,187000.000000,190000.000000,186500.000000,188000.000000,188000.000000,31718
2017-05-31,188000.000000,193000.000000,186500.000000,192500.000000,192500.000000,111185
2017-06-01,192500.000000,192500.000000,188500.000000,192000.000000,192000.000000,53189
2017-06-02,192000.000000,199500.000000,192000.000000,199500.000000,199500.000000,76373
2017-06-05,199500.000000,199500.000000,196000.000000,198500.000000,198500.000000,35346
2017-06-07,196000.000000,200000.000000,195500.000000,197500.000000,197500.000000,41672
2017-06-08,199000.000000,199000.000000,193500.000000,195500.000000,195500.000000,51185
2017-06-09,196000.000000,196500.000000,193000.000000,196000.000000,196000.000000,21010
2017-06-12,194500.000000,197000.000000,190500.000000,192500.000000,192500.000000,29180
2017-06-13,192000.000000,197000.000000,192000.000000,197000.000000,197000.000000,25555
2017-06-14,195000.000000,197000.000000,193000.000000,194000.000000,194000.000000,25927
2017-06-15,192000.000000,196000.000000,191500.000000,193500.000000,193500.000000,22746
2017-06-16,193000.000000,194000.000000,192000.000000,193500.000000,193500.000000,24957
2017-06-19,192500.000000,195000.000000,189500.000000,191000.000000,191000.000000,19330
2017-06-20,189500.000000,191000.000000,185500.000000,186500.000000,186500.000000,47872
2017-06-21,187000.000000,190500.000000,184500.000000,189500.000000,189500.000000,31201
2017-06-22,188000.000000,189000.000000,184000.000000,186500.000000,186500.000000,35468
2017-06-23,188500.000000,189000.000000,185000.000000,188000.000000,188000.000000,27111
2017-06-26,189500.000000,191500.000000,186000.000000,188000.000000,188000.000000,46891
2017-06-27,186500.000000,187500.000000,182000.000000,182000.000000,182000.000000,45776
2017-06-28,182500.000000,182500.000000,181500.000000,182000.000000,182000.000000,24156
2017-06-29,182500.000000,182500.000000,178500.000000,179000.000000,179000.000000,51327
2017-06-30,179500.000000,181000.000000,179000.000000,180500.000000,180500.000000,35179
2017-07-03,181500.000000,183000.000000,180500.000000,182500.000000,182500.000000,41557
2017-07-04,182500.000000,182500.000000,179500.000000,181500.000000,181500.000000,18108
2017-07-05,179500.000000,181500.000000,179000.000000,180000.000000,180000.000000,19982
2017-07-06,180000.000000,183500.000000,179500.000000,180000.000000,180000.000000,30196
